"UNKNOWN" "UNKNOWN" "Name" "No."
"629" "2010" " 29" "Samantha" "113"
"630" "2010" " 30" "Abigail" "113"
"631" "2010" " 31" "Jasmine" "111"
"632" "2010" " 32" "Maddison" "104"
"633" "2010" " 33" "Maia" "97"
"634" "2010" " 34" "Summer" "90"
"635" "2010" " 35" "Amber" "90"
"636" "2010" " 36" "Jade" "89"
"637" "2010" " 37" "Elizabeth" "88"
"638" "2010" " 38" "Molly" "88"
"639" "2010" " 39" "Stella" "85"
"640" "2010" " 40" "Hayley" "85"
"641" "2010" " 41" "Sarah" "84"
"642" "2010" " 42" "Taylor" "83"
"643" "2010" " 43" "Scarlett" "82"
"644" "2010" " 44" "Keira" "78"
"645" "2010" " 45" "Nevaeh" "78"
"646" "2010" " 46" "Eden" "78"
"647" "2010" " 47" "Addison" "76"
"648" "2010" " 48" "Peyton" "75"
"649" "2010" " 49" "Tayla" "75"
"650" "2010" " 50" "Alexis" "75"
"651" "2010" " 51" "Annabelle" "75"
"652" "2010" " 52" "Isabelle" "74"
"653" "2010" " 53" "Kate" "74"
"654" "2010" " 54" "Katie" "73"
"655" "2010" " 55" "Aaliyah" "73"
"656" "2010" " 56" "Alice" "72"
"657" "2010" " 57" "Phoebe" "72"
"658" "2010" " 58" "Kayla" "71"
"659" "2010" " 59" "Zara" "71"
"660" "2010" " 60" "Lilly" "68"
"661" "2010" " 61" "Riley" "67"
"662" "2010" " 62" "Caitlin" "65"
"663" "2010" " 63" "Leah" "64"
"664" "2010" " 64" "Rose" "61"
"665" "2010" " 65" "Ashley" "61"
"666" "2010" " 66" "Amy" "61"
